level,name
domain,NA
domain,Bacteria
domain,Archaea
domain,dropped
phylum,NA
phylum,Chlorophyta
phylum,Bacillariophyta
phylum,dropped
class,NA
class,Pelagophyceae
class,Cryptophyceae
class,Caudoviricetes
class,Florideophyceae
class,Asteroidea
class,Ophiuroidea
class,Hexanauplia
class,dropped
order,Primates
